category,company,phone,city
POS,Cervion Systems,877-476-7246,Phoenix
POS,DINEamics Restaurant POS,800-272-1479,Phoenix
Food distributor,Shamrock Foods,855-397-4255,Phoenix
Food distributor,Performance Foodservice Arizona,480-705-3000,Phoenix
Food distributor,US Foods Phoenix,602-269-7241,Phoenix
Food distributor,US Foods Systems,800-716-7691,Phoenix
Food distributor,Total Source Foodservice,602-231-8638,Phoenix
Food distributor,M&D Distributing,602-235-0078,Phoenix
Food distributor,Premier Foods Inc,602-253-2834,Phoenix
Food distributor,Uniko Foodservice,602-278-0232,Tolleson
Food distributor,S & S Gourmet Distributors,602-438-9240,Phoenix
Food distributor,Custom Food Service,602-254-1876,Phoenix
Beverage distributor,Breakthru Beverage Arizona,602-760-5500,Phoenix
Beverage distributor,Southern Glazer's Wine & Spirits,602-533-8000,Phoenix
Beverage distributor,Hensley Beverage Company,602-264-1635,Phoenix
Beverage distributor,Young's Market Company,602-233-1900,Phoenix
Beverage distributor,Action Wine & Spirits,480-661-3900,Phoenix
Beverage distributor,Silesia Brands,480-980-4080,Phoenix
Beverage distributor,Beer and Wine Distributors of Arizona,602-283-1036,Phoenix
Insurance,Bar and Restaurant Insurance (Ambassador),480-776-6981,Phoenix
Insurance,Contractors Insurance Agency,480-804-0707,Phoenix
Insurance,Brown & Brown Insurance of Arizona,602-277-6672,Phoenix
Insurance,Arizona Preferred Insurance,602-266-0020,Phoenix
Linen,Spectex AZ,602-730-4444,Phoenix
Linen,Specialty Textile Services,602-252-9230,Phoenix
Linen,Mission Linen and Uniform Service,602-271-9114,Phoenix
Linen,Brubaker Linens,602-492-1385,Phoenix
Linen,Mastel Linen,602-278-8997,Phoenix
Linen,CORE Linen Services,602-437-1051,Phoenix
Hood cleaning,Optimal Hood Cleaning,480-738-3142,Phoenix
Hood cleaning,A&S Hood Exhaust Cleaning,602-692-2861,Phoenix
Hood cleaning,Phx Hood Cleaning,602-960-7700,Phoenix
Hood cleaning,Sun Devil Hood & Exhaust Cleaning,602-900-8060,Phoenix
Hood cleaning,Kitchen Guard of Phoenix,602-536-4663,Phoenix
Hood cleaning,Hood Hero,602-341-3163,Gilbert
Hood cleaning,Phoenix Hood Cleaning Company,602-755-6925,Cave Creek
Equipment,Standard Restaurant Supply Phoenix,602-275-8550,Phoenix
Equipment,Standard Restaurant Supply Mesa,480-776-3599,Mesa
Equipment,EEL Economic Used Restaurant Equipment,480-448-2875,Phoenix
Equipment,Premier Restaurant Supply and Service,602-675-2968,Phoenix
Equipment,All Used Restaurant Equipment,602-997-6711,Phoenix
Equipment,Southwest Restaurant Supply,602-978-6711,Phoenix
Equipment,Alida Restaurant Supply,602-863-0688,Phoenix
Equipment,Phoenix Used Restaurant Equipment,602-471-9749,Glendale
Refrigeration,Commercial Refrigeration Service Inc,623-869-8881,Phoenix
Refrigeration,Platinum Refrigeration,602-675-3906,Phoenix
Refrigeration,AccuTemp Refrigeration,602-957-3745,Phoenix
Refrigeration,Frost Refrigeration Engineering,602-657-3835,Phoenix
Refrigeration,Arizona Refrigeration Service,602-905-2621,Tempe
Refrigeration,Adams Refrigeration,602-269-6447,Phoenix
Refrigeration,Northern Arizona Refrigeration,623-936-8777,Tolleson
Refrigeration,Andrews Refrigeration,602-992-9560,Glendale
Refrigeration,AC and Refrigeration Tempe,480-890-0848,Tempe
Payroll,Journey Payroll & HR,480-699-2729,Phoenix
Payroll,Trigon Staff Administrators,602-358-0300,Phoenix
Payroll,Consolidated Personnel Services,602-230-8940,Phoenix
Payroll,PayTech,602-788-1317,Scottsdale
Payroll,Paycom Phoenix,877-268-6480,Phoenix
Payroll,eBacon,833-432-2266,Phoenix
Payroll,Perfectus Payroll & HR,602-609-5562,Tempe
Payroll,G&A Partners Phoenix,602-932-9972,Phoenix
Payroll,Total Employer Solutions,602-955-5502,Phoenix
Signage,Associated Sign Company,602-278-8464,Phoenix
Signage,Davis Signs & Graphics,480-945-0196,Phoenix
Signage,Budget Signs,602-342-9611,Phoenix
Signage,Arizona Custom Signworks,602-325-3205,Phoenix
Signage,Epic Signs,602-264-5800,Phoenix
Signage,FASTSIGNS Central East Phoenix,602-497-2792,Phoenix
Signage,A Precise Sign,602-278-2906,Phoenix
Signage,Royal Sign Company,602-278-6286,Phoenix
Signage,FASTSIGNS Central Downtown,602-962-1855,Phoenix
POS,NEXT LEVEL POS,480-678-9808,Tempe
POS,RPOWER Point of Sale,480-425-2222,Scottsdale
POS,Point of Success,800-752-3565,Mesa
POS,SMART Systems Pro,877-457-6278,Phoenix
Consulting,Dine Consulting,480-227-5321,Scottsdale
Food distributor,US Foods CHEF'STORE Tempe,480-838-1199,Tempe
Food distributor,Shamrock Foodservice Warehouse Mesa,480-447-0477,Mesa
Food distributor,Arizona Restaurants Wholesale,480-868-1844,Mesa
Food distributor,JFC International Phoenix,480-785-0255,Tempe
Food distributor,Diversified Foodservice Supply,847-558-6642,Mesa
Food distributor,The Chefs' Warehouse Tempe,626-465-4200,Tempe
Food distributor,Restaurant Depot Mesa,480-834-4063,Mesa
Insurance,Inszone Insurance Services,480-348-2200,Scottsdale
Insurance,Hutch Insurance Agency,480-305-7368,Scottsdale
Insurance,Van Leer & Edwards Insurance,480-776-6989,Scottsdale
Insurance,Tatum Insurance,480-939-4300,Scottsdale
Insurance,VIP Insurance Services,480-696-6438,Scottsdale
Linen,Alsco Uniforms Phoenix,602-497-0686,Phoenix
Linen,Prudential Cleanroom Services,623-562-1085,Mesa
Hood cleaning,Bare Metal Standard Chandler,480-650-4012,Chandler
Hood cleaning,AJL Hood Cleaning & Exhaust,480-486-9141,Mesa
Hood cleaning,Southwest Commercial Hood Cleaning,602-332-4444,Mesa
Equipment,Restaurant Equipment Hunter,602-909-6359,Mesa
Equipment,Western Foodservice Equipment & Design,480-731-9140,Gilbert
Equipment,Restaurant Supply Tempe Distribution Center,855-838-1010,Tempe
Grease trap,Camelback Grease,602-922-1665,Phoenix
Grease trap,AAA Ajax Pumping Service,602-278-0075,Phoenix
Grease trap,American Pumping Services,602-456-2954,Phoenix
Grease trap,A-American Septic Service,602-462-5858,Phoenix
Grease trap,AZ Grease Services,602-476-2796,Phoenix
Grease trap,ALLPRO by Denali,623-776-3230,Glendale
Pest control,Blackwood Pest Solutions,833-897-2847,Tempe
Pest control,Insectek Pest Solutions,602-293-8965,Phoenix
Pest control,Responsible Pest & Scorpion Control,602-858-5178,Chandler
Pest control,Simply Green Pest Control,480-550-9220,Chandler
Pest control,Firehouse Pest Control,480-877-0175,Gilbert
Pest control,Bills Pest Termite Control,602-308-4510,Phoenix
Pest control,ACTION Termite & Pest Control,602-858-5204,Phoenix
Pest control,Property Pest Control,480-245-6422,Gilbert
Pest control,Phoenix Pest & Termite Control,480-374-1527,Phoenix
Marketing,EDC Agency (Eat Drink Creative),480-531-9211,Scottsdale
Marketing,The James Agency,480-248-6710,Scottsdale
Marketing,HVH Media & Marketing,,Scottsdale
Marketing,ReThinc Advertising,480-268-9588,Phoenix
Marketing,Bar Marketing Basics,602-540-0128,Scottsdale
Marketing,Phoenix AZ Ad Agency,,Phoenix
Marketing,Fanntastic Media,602-881-9067,Phoenix
Marketing,The Felice Agency,602-875-5664,Phoenix
